,open,high,low,close,volume
2544,580.6041,583.449,580.5205,582.539,207180.0
2545,582.4,584.73,581.7706,584.5929,220739.0
2546,584.594,586.15,583.51,584.9449,167950.0
2547,585.115,586.35,584.2,584.28,157642.0
2548,584.435,585.9417,583.51,585.38,126502.0
2549,585.4226,586.19,584.8,584.8881,124223.0
2550,584.9394,586.3097,583.51,583.76,117941.0
2551,583.775,584.9199,583.49,583.876,88224.0
2552,583.876,585.25,583.13,585.22,90354.0
2553,585.29,585.45,584.05,584.5904,73586.0
2554,584.8,585.29,584.14,584.708,71412.0
2555,584.7147,584.78,582.61,583.2,104521.0
2556,583.22,583.44,580.0,580.0449,257823.0
2557,580.15,582.2706,580.0,582.0,144164.0
2558,582.126,582.31,578.5,578.976,206540.0
2559,579.12,583.98,578.66,582.0,255325.0
2560,581.9899,582.0565,579.85,580.8447,142001.0
2561,581.0,582.28,580.5,581.5072,121343.0
2562,581.6185,581.7824,579.74,580.2644,123907.0
2563,580.19,580.51,578.61,580.0,184038.0
2564,580.37,580.404,576.5,576.8432,270274.0
2565,576.87,577.42,575.0,575.2804,284022.0
2566,575.255,577.55,575.0,577.135,233174.0
2567,577.135,577.8,576.21,576.4724,153888.0
2568,576.475,576.86,574.4501,574.7955,183287.0
2569,574.9267,575.2245,572.25,572.25,231770.0
2570,572.5192,575.12,572.05,574.989,185186.0
2571,574.99,574.99,572.7,572.7,125219.0
2572,572.88,575.07,572.7,574.405,202614.0
2573,574.395,577.7,574.1101,577.28,255102.0
2574,577.28,579.8,577.0,579.66,256408.0
2575,579.7,579.79,578.58,579.46,182375.0
2576,579.4599,579.82,579.0,579.5184,140654.0
2577,579.5272,581.3599,579.23,580.5681,211859.0
2578,580.67,582.0,580.5,581.36,199583.0
2579,581.3921,582.71,581.12,581.8173,161776.0
2580,581.8144,581.93,580.27,581.77,141592.0
2581,581.69,582.83,581.35,581.74,147489.0
2582,581.745,583.42,581.7212,582.8854,147705.0
2583,583.29,583.64,582.5,582.94,119370.0
2584,582.95,583.8,582.58,582.84,128819.0
2585,583.0,583.66,582.5,583.2149,99410.0
2586,583.245,583.48,582.5,582.87,80385.0
2587,583.0,583.07,581.25,581.8303,138905.0
2588,581.8701,583.9,581.8701,583.9,103980.0
2589,583.8057,585.26,583.7,584.8376,208957.0
2590,584.92,585.5,583.72,584.49,180293.0
2591,584.4016,584.99,583.85,584.675,96662.0
2592,584.685,584.99,583.11,584.07,105371.0
2593,584.07,584.2199,582.5,583.19,105114.0
2594,583.12,583.4551,582.1601,582.2721,84478.0
2595,582.17,582.519,581.59,581.9109,87348.0
2596,581.8892,582.5,581.32,581.32,76599.0
2597,581.32,581.87,580.89,581.515,91368.0
2598,581.52,583.39,581.5001,582.655,90806.0
2599,582.6691,583.7588,582.6691,583.4999,99266.0
2600,583.445,583.4919,581.05,581.739,96151.0
2601,581.914,582.31,581.6,581.7912,52490.0
2602,581.76,582.31,580.53,580.97,74004.0
2603,581.15,581.48,580.54,581.4,52455.0
2604,581.3324,581.8099,580.57,580.9384,59161.0
2605,581.0,581.72,580.89,581.09,33902.0
2606,581.02,582.4,580.9,582.2147,68861.0
2607,582.1469,582.49,581.6992,582.295,54608.0
2608,582.3456,583.45,582.0,583.41,111312.0
2609,583.44,583.9,583.24,583.7,101012.0
2610,583.71,583.71,582.805,582.86,53016.0
2611,582.9036,583.47,582.55,583.305,69150.0
2612,583.3908,583.43,582.1915,582.37,60321.0
2613,582.25,582.28,580.8,582.19,71347.0
2614,582.15,582.73,582.0307,582.42,45825.0
2615,582.42,582.612,581.6082,581.8065,45216.0
2616,581.81,582.51,581.5,582.51,50147.0
2617,582.5293,582.8,581.0,581.165,67605.0
2618,581.02,581.4898,580.48,580.8381,77477.0
2619,580.845,580.99,580.1406,580.875,60672.0
2620,580.98,581.0,580.45,580.9,56688.0
2621,580.97,581.24,580.2501,581.0,66957.0
2622,581.09,581.91,580.96,581.9058,55521.0
2623,581.8211,582.52,581.72,582.13,66508.0
2624,582.13,582.55,580.7848,581.28,70282.0
2625,581.39,582.21,581.39,581.995,40467.0
2626,582.085,582.25,581.5,581.87,36025.0
2627,581.98,582.0,581.2281,581.81,36866.0
2628,581.835,581.99,581.09,581.9799,24194.0
2629,581.7918,581.7918,580.25,580.71,56715.0
2630,581.1,581.59,580.32,580.32,39832.0
2631,580.28,580.42,579.07,579.91,143993.0
2632,579.85,580.0,579.531,579.9101,47562.0
2633,579.94,580.97,579.8106,580.78,59586.0
2634,580.705,580.98,580.53,580.9799,48393.0
2635,580.93,580.99,580.5101,580.5507,46267.0
2636,580.675,581.046,580.0,580.975,77142.0
2637,580.9707,581.1688,580.08,580.6561,43928.0
2638,580.79,581.09,580.6878,580.85,36462.0
2639,580.878,581.1,580.345,580.5764,43283.0
2640,580.71,581.99,580.5,581.6492,70865.0
2641,581.6288,582.7,581.6288,582.4031,87330.0
2642,582.38,583.9,582.38,583.657,148094.0
2643,583.6,584.9,583.541,584.38,151244.0
2644,584.32,584.4779,583.33,583.804,68080.0
2645,583.87,583.95,582.84,583.3135,62693.0
2646,583.14,583.4,582.6516,583.19,54183.0
2647,583.1444,583.98,583.03,583.185,86759.0
2648,583.062,583.98,583.062,583.86,44487.0
2649,583.76,584.75,583.76,584.47,82015.0
2650,584.5659,584.95,584.3701,584.85,86884.0
2651,584.7226,584.88,583.78,584.1602,59101.0
2652,584.1,584.2,583.43,584.0,56985.0
2653,583.87,584.29,583.36,583.98,62205.0
2654,583.95,585.0,583.95,584.72,124669.0
2655,584.66,584.78,584.12,584.5512,68947.0
2656,584.55,586.2,584.516,586.2,192647.0
2657,586.2,586.83,585.54,586.15,130619.0
2658,586.17,586.17,584.6,584.63,103497.0
