date,open,high,low,close,volume
2020-10-22 20:00:00,426.3,426.58,426.3,426.49,5786.0
2020-10-22 19:59:00,426.69,426.69,426.25,426.5,6459.0
2020-10-22 19:58:00,426.39,426.67,426.37,426.67,3597.0
2020-10-22 19:57:00,426.4,426.5,426.4,426.5,4659.0
2020-10-22 19:56:00,426.3,426.4,426.3,426.4,1062.0
2020-10-22 19:55:00,426.32,426.32,426.28,426.28,2404.0
2020-10-22 19:54:00,426.52,426.52,426.28,426.28,4402.0
2020-10-22 19:53:00,426.52,426.54,426.45,426.53,2767.0
2020-10-22 19:52:00,426.61,426.81,426.52,426.52,2335.0
2020-10-22 19:51:00,426.66,426.75,426.61,426.62,2208.0
2020-10-22 19:50:00,426.46,426.7,426.45,426.61,6507.0
2020-10-22 19:49:00,426.46,426.5,426.45,426.5,6966.0
2020-10-22 19:48:00,426.78,426.7899,426.47,426.6,3071.0
2020-10-22 19:47:00,426.75,426.9,426.5,426.9,8114.0
2020-10-22 19:46:00,427.0,427.0,426.67,426.67,2141.0
2020-10-22 19:45:00,426.92,427.18,426.8,427.18,3565.0
2020-10-22 19:44:00,427.0,427.0,427.0,427.0,658.0
2020-10-22 19:43:00,426.94,426.95,426.8,426.95,981.0
2020-10-22 19:42:00,426.94,426.94,426.9,426.9,1460.0
2020-10-22 19:41:00,426.92,426.92,426.75,426.78,1837.0
2020-10-22 19:39:00,426.9,427.0,426.9,427.0,1706.0
2020-10-22 19:38:00,426.8999,426.8999,426.8999,426.8999,779.0
2020-10-22 19:35:00,426.84,426.84,426.7,426.7,896.0
2020-10-22 19:34:00,426.79,426.92,426.77,426.92,2058.0
2020-10-22 19:33:00,426.62,426.75,426.62,426.75,1020.0
2020-10-22 19:32:00,426.75,426.75,426.75,426.75,792.0
2020-10-22 19:31:00,426.68,426.6899,426.68,426.6899,950.0
2020-10-22 19:30:00,426.73,426.73,426.73,426.73,659.0
2020-10-22 19:27:00,426.48,426.6,426.48,426.6,1001.0
2020-10-22 19:26:00,426.53,426.56,426.5,426.5,969.0
2020-10-22 19:25:00,426.51,426.53,426.51,426.53,654.0
2020-10-22 19:24:00,426.5,426.5,426.45,426.45,1019.0
2020-10-22 19:23:00,426.51,426.51,426.51,426.51,764.0
2020-10-22 19:22:00,426.51,426.51,426.51,426.51,443.0
2020-10-22 19:21:00,426.52,426.52,426.52,426.52,513.0
2020-10-22 19:20:00,426.47,426.57,426.47,426.56,1159.0
2020-10-22 19:19:00,426.51,426.51,426.45,426.45,2594.0
2020-10-22 19:18:00,426.57,426.57,426.46,426.46,2168.0
2020-10-22 19:17:00,426.6,426.6,426.6,426.6,307.0
2020-10-22 19:16:00,426.89,426.89,426.89,426.89,1093.0
2020-10-22 19:15:00,426.59,426.6,426.5,426.5,1945.0
2020-10-22 19:14:00,426.6,426.66,426.57,426.57,1113.0
2020-10-22 19:13:00,426.77,426.77,426.6,426.6,2679.0
2020-10-22 19:11:00,426.75,426.75,426.75,426.75,320.0
2020-10-22 19:10:00,426.86,426.86,426.66,426.66,820.0
2020-10-22 19:09:00,426.9,426.9,426.9,426.9,655.0
2020-10-22 19:06:00,427.0,427.02,427.0,427.02,1025.0
2020-10-22 19:05:00,427.0,427.0,427.0,427.0,587.0
2020-10-22 19:03:00,426.89,426.93,426.89,426.93,644.0
2020-10-22 19:02:00,426.71,426.71,426.71,426.71,461.0
2020-10-22 19:01:00,426.7,427.0,426.7,427.0,1027.0
2020-10-22 19:00:00,426.56,426.56,426.51,426.51,968.0
2020-10-22 18:59:00,427.24,427.24,426.5,427.0,4759.0
2020-10-22 18:58:00,427.3,427.3,427.3,427.3,1171.0
2020-10-22 18:57:00,427.4,427.4,427.3,427.3,1693.0
2020-10-22 18:56:00,427.53,427.53,427.4,427.4,776.0
2020-10-22 18:55:00,427.5,427.5,427.5,427.5,1082.0
2020-10-22 18:54:00,427.55,427.55,427.55,427.55,383.0
2020-10-22 18:53:00,427.58,427.58,427.58,427.58,767.0
2020-10-22 18:52:00,427.6,427.6,427.6,427.6,322.0
2020-10-22 18:51:00,427.55,427.55,427.55,427.55,370.0
2020-10-22 18:49:00,427.56,427.56,427.56,427.56,390.0
2020-10-22 18:46:00,427.52,427.68,427.52,427.68,633.0
2020-10-22 18:45:00,427.55,427.55,427.51,427.5101,964.0
2020-10-22 18:44:00,427.69,427.69,427.6,427.6,986.0
2020-10-22 18:42:00,427.7,427.7,427.69,427.69,851.0
2020-10-22 18:41:00,427.9,427.9,427.9,427.9,590.0
2020-10-22 18:40:00,427.76,427.76,427.7,427.7,567.0
2020-10-22 18:39:00,428.1,428.1,427.99,427.99,1268.0
2020-10-22 18:38:00,428.0,428.1,428.0,428.1,1610.0
2020-10-22 18:36:00,428.02,428.02,427.85,427.85,527.0
2020-10-22 18:35:00,427.67,428.1,427.67,428.1,4434.0
2020-10-22 18:34:00,427.51,427.55,427.51,427.55,977.0
2020-10-22 18:33:00,427.55,427.55,427.55,427.55,516.0
2020-10-22 18:31:00,427.75,427.75,427.6,427.6,2624.0
2020-10-22 18:29:00,428.15,428.15,427.98,428.0,1460.0
2020-10-22 18:28:00,428.0,428.1,428.0,428.1,1712.0
